OriginalRoll,OriginalPitch,FilteredRoll,FilteredPitch
-9.24,-18.53,49.9007,-18.1237
-31.69,-10.01,27.8585,-15.9318
-34.61,-8.17,10.9822,-13.8349
-43.61,-3.26,-3.7662,-10.978
-44.54,-3.06,-14.7815,-8.8389
-45.39,-3.48,-23.0506,-7.39116
-45.43,-4.96,-29.0965,-6.73437
-41.45,-6.68,-32.4339,-6.71968
-31.14,-10.37,-32.0843,-7.70584
-15.06,-20.89,-27.4851,-11.2676
8.54,-36.89,-17.7527,-18.1897
29.86,-41.59,-4.88983,-24.5114
49.56,-41.89,9.82013,-29.2063
62.49,-35.4,24.0492,-30.8796
68.73,-28.02,36.12,-30.1071
74.29,-24.23,46.4319,-28.5193
88.92,-18.88,57.9103,-25.9152
94.31,-17.38,67.7439,-23.6094
95.42,-15.5,75.2208,-21.4186
96.64,-13.46,81.0073,-19.2685
99.38,-11.52,85.9708,-17.1752
99.8,-9.02,89.7068,-14.972
96.31,-11.63,91.4907,-14.0692
93.93,-13.9,92.1497,-14.0235
80.24,-28.97,88.9322,-18.0614
59.13,-53.4,80.881,-27.6083
43.61,-61.44,70.812,-36.7482
25.02,-65.98,58.441,-44.6453
-49.79,-51.2,29.2017,-46.4161
-53.75,-41.33,6.7918,-45.0421
-52.51,-29.82,-9.22895,-40.9297
-42.12,-24.85,-18.1147,-36.5857
-35.12,-24.76,-22.7088,-33.3909
-31.97,-22.95,-25.2107,-30.5702
-18.73,-21.67,-23.4599,-28.1658
-20.36,-24.56,-22.6225,-27.1917
-24.46,-27.02,-23.1189,-27.1453
-25.51,-24.81,-23.7649,-26.5144
25.77,-8.78,-10.3827,-21.7233
37.49,-4.05,2.5504,-16.9488
42.48,-2.54,13.3376,-13.0562
56.35,-1.67,24.9577,-9.98011
60.68,-1.85,34.6083,-7.78371
66.33,-2.82,43.1781,-6.44274
63.84,-4.17,48.76,-5.82874
58.25,-5.47,51.3238,-5.73183
29,-0.34,45.2929,-4.27519
18.93,3.99,38.1708,-2.0423
20.91,4.32,33.5077,-0.323484
28.54,3.25,32.1656,0.641915
38.3,0.49,33.8229,0.600874
53.24,-4.16,39.0685,-0.685305
64.95,-6.71,46.0606,-2.31291
75.59,-8.52,54.0381,-3.9898
94.07,-11.15,64.853,-5.92417
97.92,-11.55,73.7862,-7.44402
105.69,-11.98,82.4052,-8.66945
111.54,-13.04,90.2762,-9.85018
115.36,-13.91,97.0527,-10.947
117.23,-13.43,102.504,-11.6178
118.42,-13.89,106.804,-12.2316
119.75,-14.75,110.301,-12.912
123.89,-14.4,113.972,-13.314
127.71,-14.16,117.684,-13.5425
136.96,-7.87,122.891,-12.0101
142.83,6.38,128.278,-7.04188
144.33,22.07,132.614,0.822878
143.84,25.96,135.647,7.61383
143.08,29.7,137.655,13.5805
141.95,35.58,138.815,19.5238
141.37,38.19,139.506,24.5666
142.51,41.24,140.317,29.071
143.38,43.38,141.145,32.9367
146.82,47.14,142.678,36.7738
153.29,51.07,145.545,40.636
159.21,53.67,149.237,44.1572
166.72,56.07,153.96,47.3755
173.85,57.42,159.333,50.0891
179.48,57.99,164.776,52.2236
-174.85,57.88,73.024,53.7517
-170.48,57.13,7.23985,54.6644
-170.64,58.05,-40.8155,55.579
-175.68,60.57,-77.25,56.9274
-178.47,61.57,-104.595,58.1816
-179.82,63.4,-124.918,59.5914
177.75,69.84,-43.1501,62.3601
175.21,75.68,15.8412,65.9586
-175.06,83.23,-35.7319,70.6245
-99.79,85.47,-53.0376,74.6351
-72.19,84.18,-58.2117,77.2137
-59.18,81.39,-58.4733,78.342
-48.5,81.11,-55.779,79.0898
-44.9,76.69,-52.84,78.4415
-43.51,74.74,-50.3194,77.4415
-40.34,71.95,-47.6234,75.9579
-43.21,71.61,-46.4311,74.7833
-45.13,70.8,-46.0796,73.7072
-52.64,71.15,-47.8519,73.0163
-56.61,71.87,-50.218,72.7067
-64.5,73.71,-54.0764,72.9777
-71.27,74.69,-58.7213,73.4403
-79,75.7,-64.1997,74.0508
-84.3,77.2,-69.63,74.9016
-81.71,79,-72.8934,76.0088
-73.24,82.25,-72.9871,77.6949
-38.45,83.89,-63.6567,79.3685
-6.74,81.65,-48.2803,79.9849
6.32,73.22,-33.5297,78.1573
6.69,68.01,-22.6641,75.416
8.17,61.02,-14.3341,71.5268
8.55,46.17,-8.15179,64.6765
6.76,36.52,-4.12328,57.0698
4.79,27.41,-1.7153,49.0571
-1.93,19.25,-1.7733,41.0045
-3.92,14.37,-2.35325,33.809
-5.59,8.32,-3.22768,26.923
-8.19,1.29,-4.56828,19.9981
-8.02,-12.27,-5.50078,11.2807
-7.37,-28.19,-6.00576,0.617419
-9.76,-40.28,-7.01999,-10.4313
-8,-45.27,-7.28475,-19.8432
-0.88,-45.64,-5.55447,-26.8123
3,-45.44,-3.24342,-31.8447
18.9,-43.49,2.73876,-34.9908
26.59,-41.22,9.18232,-36.6736
30.26,-39.66,14.8766,-37.4804
39.27,-35.05,21.4666,-36.8238
43.75,-32.53,27.4866,-35.6638
49.16,-29.1,33.3418,-33.8906
