OriginalRoll,OriginalPitch,FilteredRoll,FilteredPitch
2.06,68.68,8.67644,41.2171
-12.87,78.19,2.85554,51.2056
-38.69,82.93,-8.36825,59.7761
-61.31,84.07,-22.6708,66.3393
-111.06,82.88,-46.5497,70.8078
-137.88,77.72,-71.2231,72.6752
-144.76,72.75,-91.0896,72.6954
-149.56,66.8,-106.886,71.1027
-151.96,65.22,-119.063,69.5135
-152.34,65.24,-128.053,68.359
-152.69,65.75,-134.709,67.6541
-152.98,67.07,-139.645,67.4963
-153.15,68.88,-143.293,67.8701
-153.26,72.42,-145.986,69.0993
-152.05,75.14,-147.624,70.7312
-142.16,82.15,-146.148,73.8161
-135.06,84.31,-143.152,76.6511
-9.65,85.5,-107.086,79.0417
12.69,67.86,-74.7277,76.0209
14.18,58.95,-50.7088,71.4091
15.54,40.89,-32.8113,63.1642
16.36,32.44,-19.5273,54.8638
20.33,15.46,-8.75963,44.2186
21.35,11.12,-0.625325,35.2768
23.41,5.37,5.86797,27.1973
25.09,1.19,11.0609,20.1713
25.82,-0.79,15.0482,14.5085
28.18,-8.71,18.5958,8.23585
30.44,-13.52,21.7956,2.35837
32.47,-19.32,24.6794,-3.49817
35.13,-27.32,27.5027,-9.93379
40.91,-39.32,31.1247,-17.8727
57.92,-52.99,38.3636,-27.3598
65.69,-56.24,45.746,-35.162
71.38,-58.31,52.6712,-41.4156
76.58,-59.41,59.1303,-46.2769
85.58,-60.23,66.2759,-50.0464
90.7,-60.36,72.8742,-52.8327
91.33,-60.34,77.8601,-54.8608
95.13,-60.01,82.5257,-56.2519
96.06,-60.1,86.1821,-57.2915
96.68,-59.56,89.0182,-57.9043
96.22,-59.11,90.9638,-58.2301
94.66,-57.37,91.9623,-57.9977
93.98,-56.63,92.5074,-57.6282
93.45,-55.71,92.7621,-57.11
91.85,-53.82,92.5157,-56.2212
91.75,-53.74,92.3088,-55.5509
89.42,-51.45,91.5284,-54.443
89.21,-49.63,90.9021,-53.1427
89.1,-47.67,90.4152,-51.6642
89.59,-42.61,90.1923,-49.2182
89.96,-40.61,90.1295,-46.8926
89.94,-36.91,90.0783,-44.1958
85.59,-26.55,88.8658,-39.4286
82.13,-15.55,87.0461,-32.9777
82.15,-14.56,85.7234,-28.002
85.58,-6.66,85.6846,-22.2363
90.51,-1.25,86.9882,-16.5668
93.74,1.15,88.8123,-11.7805
99.46,4.72,91.6888,-7.32276
103.83,7.38,94.9688,-3.35072
115.11,13.3,100.41,1.14758
125.64,16.28,107.226,5.23569
132.52,18.08,114.059,8.70566
137.01,19.04,120.26,11.4975
140.18,19.58,125.641,13.6811
144.64,18.6,130.774,15.01
146.38,17.83,134.99,15.7718
147.39,17.24,138.34,16.1684
147.87,17.04,140.915,16.4039
149.32,16.2,143.185,16.3488
149.77,15.45,144.964,16.106
149.97,15.4,146.317,15.9153
150.23,15.52,147.374,15.8085
148.61,16.9,147.708,16.1034
147.7,18.03,147.706,16.6239
146.03,18.21,147.253,17.0524
143.69,18.05,146.29,17.3219
142.72,18.12,145.326,17.5375
139.5,19.12,143.752,17.965
137.8,19.76,142.144,18.4499
133.54,20.97,139.82,19.1308
126.27,22.54,136.159,20.0518
120.28,22.67,131.869,20.7591
113.36,21.85,126.869,21.0538
106.51,21.26,121.369,21.1095
101.29,20.73,115.944,21.007
100.7,20.66,111.826,20.9132
99.9,20.56,108.604,20.8178
79.6,16.26,100.768,19.5865
67.85,13.91,91.8754,18.053
61.76,12.73,83.7395,16.6149
52.24,12.3,75.2297,15.4492
46.91,12.95,67.579,14.774
44.31,13.41,61.2927,14.4055
40.42,15.1,55.6538,14.5932
37.97,16.13,50.8764,15.0083
32,17.03,45.7768,15.5545
27.12,17.92,40.7366,16.1936
22.26,18.73,35.745,16.8788
16.27,19.28,30.4837,17.5275
10.9,19.76,25.1931,18.1306
8.4,19.95,20.6563,18.6221
7.33,19.79,17.0561,18.9376
7.25,19.42,14.4069,19.068
7.38,19.21,12.5086,19.1063
7.47,18.7,11.1474,18.9966
8.17,18.26,10.343,18.7976
8.84,17.56,9.93696,18.4632
9.31,16.61,9.76759,17.9626
9.63,16.27,9.73042,17.5053
10.22,15.85,9.86268,17.0581
10.62,15.52,10.0673,16.6426
12.85,13.4,10.819,15.7666
14.84,12.22,11.9053,14.8085
16.19,11.41,13.0629,13.8903
22.46,9.69,15.6016,12.7556
24.94,9.82,18.1244,11.9625
26.8,10.05,20.4682,11.4458
30.24,9.33,23.1081,10.8742
31.55,8.45,25.3887,10.2193
33.66,7.63,27.6233,9.51979
36.19,6.88,29.9376,8.80664
37.7,6.67,32.0347,8.22941
39.61,7.04,34.0812,7.90808
43.13,8.67,36.5258,8.11392
47.21,11.11,39.4122,8.92333
51.97,13.92,42.8048,10.2732
56.08,15.61,46.3911,11.715
59.82,16.51,50.019,13.0104
68.79,16.85,55.0901,14.0477
73.39,16.44,60.034,14.694
76.65,16.38,64.5229,15.1495
79.79,16.55,68.6474,15.5278
83.02,16.8,72.5302,15.8715
86.22,16.97,76.2286,16.1683
91.49,16.82,80.3516,16.3443
95.37,17.06,84.4089,16.5377
96.47,17.25,87.6673,16.7301
97.88,17.66,90.4263,16.9813
102.6,19.66,93.7151,17.705
107.27,22.49,97.377,18.9977
111.05,24.82,101.071,20.5706
116.8,27.37,105.32,22.4075
120.43,28.67,109.402,24.0994
121.29,28.91,112.614,25.399
122.71,28.84,115.341,26.3286
123.83,28.77,117.635,26.9882
124.46,28.72,119.479,27.456
125.67,28.55,121.151,27.7516
126.23,28.36,122.523,27.9159
127.44,27.86,123.852,27.9008
128.52,27.33,125.113,27.7466
128.66,26.99,126.071,27.5422
128.74,26.77,126.792,27.3336
128.32,26.77,127.205,27.1813
126.92,26.91,127.128,27.108
125.38,27,126.656,27.0788
124.32,27.07,126.025,27.0765
122.38,27.35,125.04,27.1504
118.17,27.61,123.184,27.2745
107.91,27.86,119.058,27.4327
100.78,28.51,114.12,27.7237
96.93,28.71,109.476,27.9902
89.44,29.02,104.063,28.2684
82.71,29.25,98.2944,28.5336
76.07,29.11,92.2904,28.6893
71.5,28.6,86.6737,28.6652
65.38,27.08,80.9211,28.2369
53.69,22.69,73.5644,26.7384
49.15,21.1,66.9687,25.2151
44.07,20.96,60.7825,24.0656
40.59,21.98,55.3274,23.5022
37.46,22.61,50.5004,23.2611
35.82,23,46.5344,23.1906
34.7,23.05,43.3373,23.1526
31.67,23.92,40.1853,23.3599
30.95,23.93,37.6903,23.5139
30.74,23.65,35.8126,23.5507
30.75,23.25,34.4449,23.4695
29.76,21.05,33.1793,22.8158
28.9,19.38,32.0232,21.8876
28.26,18.41,31.0065,20.9481
27.54,17.65,30.07,20.0571
108.89,26.1,51.3637,21.6896
108.41,27.27,66.7751,23.1972
105.23,34.88,77.164,26.3534
103.25,39.43,84.2113,29.8861
99.21,44.76,88.2633,33.9044
95.27,47.93,90.1562,37.6935
91.4,49.9,90.4922,40.9912
83.38,51.9,88.5708,43.9382
72.18,51.82,84.1427,46.0676
58.2,47.92,77.1341,46.568
49.55,42.54,69.6821,45.4798
39.27,33.72,61.4661,42.3028
35.2,29.04,54.3701,38.7198
32.78,25.49,48.5374,35.1457
30.23,22.75,43.5916,31.7969
29.48,21.55,39.7792,29.0286
27.56,20.19,36.4781,26.6408
24.29,21.27,33.1854,25.1899
22.74,19.98,30.3635,23.7824
19.94,18.71,27.5476,22.4121
20.26,18.86,25.5788,21.4524
20.87,19.86,24.3067,21.0222
21.23,18.15,23.4755,20.2463
21.77,13.21,23.0147,18.3454
22.55,3.6,22.8892,14.3618
24.07,-4.78,23.2082,9.19055
25.98,-8.34,23.957,4.45456
30.98,-16.6,25.8543,-1.23346
36.75,-21.92,28.7979,-6.82206
41.6,-25.24,32.2564,-11.7978
54.68,-33.7,38.3143,-17.7148
62.25,-36.35,44.7807,-22.7492
71.42,-37.39,51.9775,-26.7045
82.85,-34.09,60.3179,-28.6997
94.59,-25.7,69.5767,-27.8893
104.92,-16.06,79.1249,-24.6936
110.76,-8.74,87.6713,-20.3836
116.33,-3.37,95.4136,-15.7873
120.86,-2.75,102.288,-12.2652
125.18,-9.32,108.473,-11.4695
121.36,-13.7,111.954,-12.0721
